"","hid","year","year_f","migdist","herdsize","z_herdsize","migb","bi_migb","reason","tac_strat","hhsize","z_w5c","z_w_ros","z_w_sumtemp","z_s_20Cdays","z_s_sumtemp","w_5C","w_ros","w_sumtemp","s_20Cdays","s_sumtemp"
"1","1",2007,"2007",700,300,-0.723397243571699,"neutral",1,"pasture","neutral",2,0.104880120394852,-0.185767532901969,0.632853752148176,-0.0900006195610945,-0.156235704176375,32,0.088726625,1638.6262385,4.33333333333333,747.333333333333
"2","1",2008,"2008",1100,400,-0.580104498838647,"increase",2,"social","strategic",2,-0.859786481478675,0.294319450397215,-0.578166873852197,-0.804685342381215,-0.550842600149571,23,0.141304338,784.9937988,0,0
"3","1",2018,"2018",450,300,-0.723397243571699,"decrease",2,"pasture","strategic",2,1.60547261219811,0.0975227157015274,1.39064505611378,0.0199508762573855,0.029979325234705,46,0.119751739,2172.783317,5,1100
"4","2",2018,"2018",500,300,-0.723397243571699,"decrease",2,"social","strategic",2,1.28391707824027,-0.138784969716466,0.959983050508632,-0.309903611198055,-0.21951009271445,43,0.093872017,1869.215359,3,627.5
"5","2",2021,"2021",900,300,-0.723397243571699,"increase",2,"pasture","strategic",2,0.212065298380799,-0.611969603481154,-0.232348204492694,-0.0625127456064745,-0.277328275286793,33,0.042050229,1028.75681,4.5,518
"6","3",2001,"2001",600,1500,0.996115693224927,"shift",2,"industry","tactical",3,-0.00230505759109583,-0.478256933103074,-0.379517511696268,-0.144976367470335,-0.124730514890379,31,0.056694047,925.0191097,4,807
"7","4",2001,"2001",600,400,-0.580104498838647,"shift",2,"social","strategic",6,-0.00230505759109583,-0.478256933103074,-0.379517511696268,-0.144976367470335,-0.124730514890379,31,0.056694047,925.0191097,4,807
"8","5",2017,"2017",280,400,-0.580104498838647,"neutral",1,"pasture","neutral",4,-0.64541612550678,-0.783513257945822,-1.04140017016545,0.514732607440546,0.235907098780039,25,0.023263273,458.4667683,8,1490
"9","5",2018,"2018",600,400,-0.580104498838647,"increase",2,"pasture","strategic",4,-0.00230505759109583,1.56563042402565,0.666630337116337,-0.474830854925775,-0.461607231613259,31,0.280534573,1662.434907,2,169
"10","6",2006,"2006",300,300,-0.723397243571699,"neutral",1,"pasture","neutral",3,-0.966971659464622,0.028899368074459,0.777364204297367,0.184878119985106,-0.216605983087528,22,0.112236312,1740.489747,6,633
"11","6",2008,"2008",320,200,-0.866689988304751,"shift",2,"climate","tactical",3,-0.591823536513806,-0.910952006018546,-0.374119628003698,-0.804685342381215,-0.550842600149571,25.5,0.0093065565,928.8240066,0,0
"12","7",2012,"2012",280,600,-0.293519009372542,"neutral",1,"pasture","neutral",2,-0.00230505759109583,-0.530476762713819,-1.00537342910671,-0.144976367470335,-0.279968374947631,31,0.050975085,483.8615421,4,513
"13","7",2014,"2014",180,600,-0.293519009372542,"decrease",2,"climate","tactical",2,1.28391707824027,1.62410613765554,0.685140733701218,-0.804685342381215,-0.550842600149571,43,0.286938661,1675.482641,0,0
